127.0.0.1 - - [12/Apr/2020 08:56:33] GET / HTTP/1.1 200 -
10.0.0.115 - - [12/Apr/2020 09:01:50] GET /Unread HTTP/1.1 404 -
10.0.0.115 - - [12/Apr/2020 09:01:50] GET /assets/main.css HTTP/1.1 200 -
10.0.0.34 - - [12/Apr/2020 09:01:56] GET / HTTP/1.1 200 -
10.0.0.34 - - [12/Apr/2020 09:01:56] GET /assets/main.css HTTP/1.1 200 -
10.0.0.34 - - [12/Apr/2020 09:01:56] GET /assets/images/zjs.jpg HTTP/1.1 200 -
10.0.0.115 - - [12/Apr/2020 09:02:02] GET /blog.html HTTP/1.1 200 -
10.0.0.115 - - [12/Apr/2020 09:02:02] GET /assets/main.css HTTP/1.1 200 -
10.0.0.115 - - [12/Apr/2020 09:02:25] GET /apple-touch-icon-152x152-precomposed.png HTTP/1.1 404 -
10.0.0.115 - - [12/Apr/2020 09:02:25] GET /apple-touch-icon-152x152.png HTTP/1.1 404 -
10.0.0.115 - - [12/Apr/2020 09:02:25] GET /apple-touch-icon.png HTTP/1.1 404 -
10.0.0.115 - - [12/Apr/2020 09:02:25] GET /apple-touch-icon.png HTTP/1.1 404 -
10.0.0.132 - - [12/Apr/2020 09:02:39] GET /blog/git-home.html HTTP/1.1 200 -
10.0.0.132 - - [12/Apr/2020 09:02:39] GET /assets/main.css HTTP/1.1 200 -
10.0.0.132 - - [12/Apr/2020 09:02:39] GET /assets/images/favicon.ico HTTP/1.1 200 -
10.0.0.132 - - [12/Apr/2020 09:02:39] GET /assets/images/favicon_512.ico HTTP/1.1 200 -
- - - [12/4/2020 9:2:44] Graceful shutdown - -
